Field Name - APN CRM JSON Name,Name on ACE pipeline Manager,Datatype,Field Name - AWS Partner Selling APIs,Datatype - API,Field Validation,Description,Additional Details,Inbound - Mandatory / Conditionally Mandatory / Optional,Conditions when Mandatory (Biz Validation),Outbound - Mandatory / Conditionally Mandatory / Optional,Outbound - Conditions when Mandatory (Biz Validation),Update - Action Required,Update - After Launched (Closed Won),Updates up until Launched/Lost,Create,Outbound Payload
closedLostReason,Closed Reason,Single select picklist,LifeCycle.ClosedLostReason,,Accepts only standard values,"Specifies the reason code when an opportunity is marked ""Closed Lost"". By selecting an appropriate reason code, partners can communicate the context behind the closure of the opportunity, aiding in accurate reporting and analysis of opportunity outcomes.",,Conditionally Mandatory,When an opportunity stage changes to Closed Lost,Conditionally Mandatory,When an opportunity stage changes to Closed Lost,No,No,Yes,No,Yes
apnCrmLeadUniqueIdentifier,#N/A,Text,#N/A,,,Specifies the lead identifier when an opportunity is converted from an AWS referred lead. ,"This field requires the input of an existing lead's unique identification ID. Upon associating an opportunity with a specific Lead ID, the system automates the conversion of the corresponding ACE lead into an opportunity. Even in cases where the provided Lead ID doesn't correspond to an existing lead, the system initiates the creation of a new opportunity. This streamlined functionality ensures a seamless connection between opportunities and leads while offering the capability to effortlessly convert leads into opportunities without manual intervention.",Optional,,Optional,,No,No,Yes,Yes,Yes
aWSClosedLostReason,AWS Closed Lost Reason,Text,AWSSalesLifeCycle.ClosedLostReason,,,"Specifies the reason code for an opportunity being marked as ""Closed Lost"" by AWS. This field is distinct from the closedLostReason, which is used for regular updates between AWS and partner CRMs. Information related to awsClosedLostReason is shared only when the AWS Stage is either ""Launched"" or ""Closed Lost.""",,NA, ,Optional, ,#N/A,#N/A,#N/A,#N/A,Yes
aWSCloseDate,AWS Close Date,Date,AWSSalesLifeCycle.TargetCloseDate,,,"Indicates the expected launch date of an opportunity as tracked by AWS. This field is distinct from the targetCloseDate, which is used for regular updates between AWS and partner CRMs. Information related to aWSCloseDate is shared only when the AWS Stage is either ""Launched"" or ""Closed Lost.",,NA, ,Optional, ,#N/A,#N/A,#N/A,#N/A,Yes
aWSStage,AWS Stage,Text,AWSSalesLifeCycle.Stage,,,"Provides insight into the current stage of an opportunity as monitored by AWS. This field is distinct from the general ""stage"" field and is specifically designed to align with AWS tracking mechanisms. Information about the AWS Stage is disclosed to partners only when the opportunity reaches either the ""Launched"" or ""Closed Lost"" stages. ",,NA, ,Optional, ,#N/A,#N/A,#N/A,#N/A,Yes
createdBy,#N/A,Text,#N/A,,,Specifies the name of the person/entity that created the opportunity. Read Only.,,NA, ,Optional, ,#N/A,#N/A,#N/A,#N/A,Yes
createdDate,#N/A,Date,CreatedDate,,,Specifies the date and time the opportunity was created. Read Only.,,NA, ,Optional, ,#N/A,#N/A,#N/A,#N/A,Yes
lastModifiedBy,#N/A,Text,#N/A,,,Specifies the name of the person/entity that modified the opportunity. Read Only.,,NA,,Optional,,#N/A,#N/A,#N/A,#N/A,Yes
lastModifiedDate,#N/A,Date,LastModifiedDate,,,Specifies the date and time the opportunity was last modified. Read Only.,,NA,,Optional,,#N/A,#N/A,#N/A,#N/A,Yes
cosellConvertReason ,#N/A,Single select picklist,PrimaryNeedsFromAWSChangeReason,,Provides only standard values,Read only field to notify partner the reason why the opportunity converted to co-sell.,New Field,NA,,Conditionally Mandatory,"Available only when an opportunity is converted to ""Co-sell"".",#N/A,#N/A,#N/A,#N/A,Yes
backwardsCompatibilityChanges,#N/A,Text Area,,,,Specifies the transformations made on the payload version 1.0 to support backward compatability. This field provides transparency to partners to the data transformation performed for supporting backward compatibility.,,NA,,Conditionally Mandatory,Available only when there is a transformation of old data model to new data model,#N/A,#N/A,#N/A,#N/A,Yes
