AWS Product Code,Product Name,Product Description,Product Family
AmazonTranscribe,Amazon Transcribe,Powerful Speech Recognition,Machine Learning
AWSDeepLens,AWS DeepLens,Deep Learning Enabled Video Camera,Machine Learning
AmazonElasticKubernetesServiceEKS,Amazon Elastic Kubernetes Service (EKS),"The most trusted way to start, run, and scale Kubernetes",Containers
AmazonECSonAWSFargate,Amazon ECS on AWS Fargate,Run containers without having to manage servers or clusters of Amazon EC2 instances,Containers
AWSServerlessApplicationRepository,AWS Serverless Application Repository,"Discover, deploy, and publish serverless applications",Compute
AmazonNeptune,Amazon Neptune,Build and run graph applications with highly connected datasets,Database
AWSCloud9,AWS Cloud9,"A cloud IDE for writing, running, and debugging code",Developer Tools
FreeRTOSIoT,FreeRTOS (IoT),Real-time operating system for microcontrollers,Internet of Things
AWSIoTAnalytics,AWS IoT Analytics,Analytics for IoT devices,Internet of Things
AWSIoTDeviceDefender,AWS IoT Device Defender,Security management for IoT devices,Internet of Things
AWSIoTDeviceManagement,AWS IoT Device Management,"Register, organize, monitor, and remotely manage connected devices at scale",Internet of Things
AWSAppSync,AWS AppSync,"Real-Time Data Sync Using GraphQL for Mobile & Web Apps, Online or Offline",Front-End Web & Mobile
AmazonGuardDuty,Amazon GuardDuty,Protect your AWS accounts with intelligent threat detection,"Security, Identity & Compliance"
AmazonSumerian,Amazon Sumerian,"Build VR, AR, and 3D applications",AR & VR
AmazonKinesisVideoStreams,Amazon Kinesis Video Streams,"Capture, Process, and Store Video Streams for Analytics and Machine Learning",Internet of Things
AWSSingleSignOn,AWS Single Sign-On,Manage Single Sign-On (SSO) Access to AWS Accounts and Business Applications,"Security, Identity & Compliance"
AWSWAFWebApplicationFirewall,AWS WAF - Web Application Firewall,Protect your web applications from common web exploits,"Security, Identity & Compliance"
AWSElementalMediaConvert,AWS Elemental MediaConvert,Convert file-based content for broadcast and multiscreen delivery,Media Services
AWSElementalMediaLive,AWS Elemental MediaLive,Convert video inputs into live outputs for broadcast and streaming delivery,Media Services
AWSElementalMediaPackage,AWS Elemental MediaPackage,Deliver video to many devices using just-in-time format conversion,Media Services
AWSElementalMediaTailor,AWS Elemental MediaTailor,Personalize and monetize multiscreen content with server-side ad insertion,Media Services
AWSElementalMediaStore,AWS Elemental MediaStore,Store and deliver video assets for live or on-demand media workflows,Media Services
ImportExportSnowball,Import/Export Snowball,0,Storage
AmazonRDSforMariaDB,Amazon RDS for MariaDB,"Set up, operate, and scale a relational database in the cloud with just a few clicks",Database
AmazonQuickSight,Amazon QuickSight,"Scalable, serverless, embeddable, ML-powered BI service for the cloud",Analytics
AmazonMacie,Amazon Macie,Discover and protect your sensitive data at scale,"Security, Identity & Compliance"
AWSIoTCore,AWS IoT Core,Easily and securely connect devices to the cloud,Internet of Things
AmazonLumberyard,Amazon Lumberyard,Cross-platform AAA game engine deeply integrated with AWS and Twitch with full source code provided,Game Tech
AmazonGameLift,Amazon GameLift,Deploy and Scale Session-based Multiplayer Games,Game Tech
CloudCanvas,Cloud Canvas,0,Game Tech
AmazonAthena,Amazon Athena,Start querying data instantly. Get results in seconds. Pay only for the queries you run.,Analytics
AWSGlue,AWS Glue,"AWS Glue is a fully managed ETL (extract, transform, and load) service",Analytics
AWSBatch,AWS Batch,Fully managed batch processing at any scale,High Performance Computing (HPC)
AWSCodeBuild,AWS CodeBuild,Build and test code with continuous scaling. Pay only for the build time you use.,Developer Tools
AWSSystemsManager,AWS Systems Manager,Gain operational insights and take action on AWS resources,Management & Governance
AmazonLex,Amazon Lex,Build Voice and Text Chatbots,Machine Learning
AmazonLightsail,Amazon Lightsail,Launch and Manage Virtual Private Servers,Compute
AWSOpsWorks,AWS OpsWorks,Automate Operations with Chef and Puppet,Management & Governance
AmazonPinpoint,Amazon Pinpoint,Multichannel marketing communication service,Customer Engagement
AmazonPolly,Amazon Polly,Turn Text into Lifelike Speech,Machine Learning
AmazonRDSAuroraforMySQL,Amazon RDS Aurora for MySQL,MySQL-compatible relational database built for the cloud,Database
AmazonRDSAuroraforPostgreSQL,Amazon RDS Aurora for PostgreSQL,PostgreSQL-compatible relational database built for the cloud,Database
AWSShield,AWS Shield,Managed DDoS protection,"Security, Identity & Compliance"
AWSSnowmobile,AWS Snowmobile,Migrate or transport exabyte-scale data sets into and out of AWS,Storage
AWSStepFunctions,AWS Step Functions,Coordinate Distributed Applications,Application Integration
AWSXRay,AWS X-Ray,"Analyze and debug production, distributed applications",Developer Tools
AWSIoTGreengrass,AWS IoT Greengrass,Deploy and run code on your devices,Internet of Things
AmazonCloudDirectory,Amazon Cloud Directory,"Fully managed, hierarchical data store in AWS cloud","Security, Identity & Compliance"
AWSCertificateManager,AWS Certificate Manager,"Easily provision, manage, and deploy public and private SSL/TLS certificates for use with AWS services and your internal connected resources","Security, Identity & Compliance"
AWSDeepLearningAMIs,AWS Deep Learning AMIs,Pre-configured environments to quickly build deep learning applications,Machine Learning
ApacheMXNetonAWS,Apache MXNet on AWS,Build machine learning applications that train quickly and run anywhere,Machine Learning
AWSMarketplaceSaas,AWS Marketplace - Saas,Software as a service (Saas) Marketplace Products,Marketplace
AWSMarketplaceEC2,AWS Marketplace - EC2,EC2 Marketplace Products,Marketplace
AWSMigrationHub,AWS Migration Hub,Simplify and accelerate the migration of your data centers to AWS,Migration & Transfer
AmazonGameSparks,Amazon GameSparks,"Managed service providing backend feature tools for building, running, and scaling games",Game Tech
AmazonFSxforNetAppONTAP,Amazon FSx for NetApp ONTAP,Fully managed storage built on NetApp's popular ONTAP file system,Storage
AWSStorageGatewayFSxFileGateway,AWS Storage Gateway (FSx File Gateway),"Fast, low-latency access on premises to fully managed file shares",Storage
AWSStorageGatewayS3FileGateway,AWS Storage Gateway (S3 File Gateway),Store and access objects in Amazon S3 from NFS or SMB file data with local caching,Storage
AWSStorageGatewayTapeGateway,AWS Storage Gateway (Tape Gateway),Backup and archive on-premises data to virtual tapes in AWS,Storage
AWSStorageGatewayVolumeGateway,AWS Storage Gateway (Volume Gateway),Hybrid cloud block storage with local caching,Storage
AWSFirewallManager,AWS Firewall Manager,Centrally configure and manage firewall rules across accounts and applications,"Security, Identity & Compliance"
AWSGameKit,AWS GameKit,GameKit enables game developers to deploy and customize game features from game engine,Game Tech
AWSParallelCluster,AWS ParallelCluster,Quickly build HPC compute environments on AWS,High Performance Computing (HPC)
ElasticFabricAdapterEFA,Elastic Fabric Adapter (EFA),Run HPC and ML applications at scale,High Performance Computing (HPC)
AWSFaultInjectionSimulator,AWS Fault Injection Simulator,Improve resiliency and performance with controlled experiments,Developer Tools
AmazonKinesisDataStreamsKDS,Amazon Kinesis Data Streams (KDS),Collect streaming data with a data stream,Analytics
AmazonKinesisDataFirehoseKDF,Amazon Kinesis Data Firehose (KDF),Process and deliver streaming data with data delivery stream,Analytics
AWSClientVPN,AWS Client VPN,Extend your on-premises networks to the cloud and securely access them from anywhere,Networking & Content Delivery
AWSOutpostsServers,AWS Outposts Servers,Run AWS Outposts in locations with limited space or smaller capacity requirements,Compute
AWSCloudShell,AWS CloudShell,Command line access to AWS resources and tools directly from a browser,Developer Tools
AmazonMQforActiveMQ,Amazon MQ for ActiveMQ,Fully managed service for open source message brokers for ActiveMQ,Application Integration
AmazonMQforRabbitMQ,Amazon MQ for RabbitMQ,Fully managed service for open source message brokers for RabbitMQ,Application Integration
Wickr,Wickr,"Provide secure, unified communications solutions for messaging, video conferencing, file and location sharing using end-to-end encryption (E2EE)",Business Applications
AWSBugBust,AWS BugBust,Bug bashing events,Machine Learning
AmazonCloudWatchSynthetics,Amazon CloudWatch Synthetics,Monitor application endpoints more easily,Management & Governance
AmazonNimbleStudio,Amazon Nimble Studio,Accelerate building a cloud-based content creation studio,Media Services
AWSApplicationCostProfiler,AWS Application Cost Profiler,Cost per tenant and workload,Management & Governance
AmplifyAdminUIimportexistingCognitoUserPoolandIdentityPools,Amplify Admin UI import existing Cognito User Pool and Identity Pools,Programmatic interface for configuring and managing app backends,Front-End Web & Mobile
AmazonRoute53ApplicationRecoveryController,Amazon Route 53 Application Recovery Controller,Simplify and automate recovery for highly available applications,Networking & Content Delivery
NICEDCV,NICE DCV,Deliver high-performance remote desktop and application streaming,High Performance Computing (HPC)
CrossRegionDataTransfer,Cross-Region Data Transfer,Cross-region data transfer costs,Migration & Transfer
AmazonMemoryDB,Amazon MemoryDB,"Redis-compatible, durable, in-memory database service for ultra-fast performance",Database
GameLiftFleetIQ,GameLift FleetIQ,Optimizes the use of low-cost Spot Instances for cloud-based game hosting with Amazon EC2,Game Tech
AWSDeepLearningContainers,AWS Deep Learning Containers,"Quickly set up deep learning environments with optimized, pre-packaged container images",Machine Learning
AWSMigrationHubStrategyRecommendations,AWS Migration Hub Strategy Recommendations,Analyzes your applications to help you determine the optimal strategy and tools to migrate and modernize at scale.,Migration & Transfer
SnowballwithTapeGateway,Snowball with Tape Gateway,"Secure, offline tape data migration capability for AWS Snowball Edge",Storage
AmazonEC2G4,Amazon EC2 - G4,The industry’s most cost-effective GPU instances for machine learning inference and graphics-intensive applications powered by T4 GPUs from NVIDIA,Compute
AmazonRDSCustomforSQLServer,Amazon RDS Custom for SQL Server,Managed database services for applications that require operating system and database customization,Database
AmazonS3GlacierInstantRetrieval,Amazon S3 Glacier Instant Retrieval,"Amazon S3 Glacier Instant Retrieval is durable, low-cost archive storage with milliseconds retrieval",Storage
AmazonConnectForecastPlanSchedule,Amazon Connect - Forecast Plan Schedule,"Amazon Connect - Forecasting, Cap Planning, and Scheduling",Customer Engagement
AmazonDataZone,Amazon DataZone,Unlock data across organizational boundaries with built-in governance,Analytics
AmazonRDSCustomForOracle,Amazon RDS Custom For Oracle,Managed database services for applications that require operating system and database customization,Database
VMwareCloudonAWS,VMware Cloud on AWS,"Rapidly migrate, extend, modernize, and protect your VMware environment to the AWS Cloud",Compute
AWSElasticDisasterRecovery,AWS Elastic Disaster Recovery,"Scalable, cost-effective application recovery to AWS",Storage
AWSManagedServicesAccelerate,AWS Managed Services Accelerate,Extends customers teams and capabilities to drive operational excellence with a flexible consumption model,Management & Governance
AWSManagedServicesAdvanced,AWS Managed Services Advanced,Fully managed operational solution that trades some flexibility for increased operational rigor,Management & Governance
AWSManagedServicesOperationsonDemandOOD,AWS Managed Services Operations on Demand (OOD),Curated catalog of operational capabilities that augment the extensive scope provided by AMS Operations Plans,Management & Governance
AWSMainframeModernization,AWS Mainframe Modernization,"Migrate, modernize, and run mainframe applications on AWS",Migration & Transfer
AmazonSageMakerCanvas,Amazon SageMaker Canvas,Provide business analysts with a UI that allows them to generate ML predictions,Machine Learning
AmazonSageMakerFeatureStore,Amazon SageMaker Feature Store,A fully managed repository for machine learning features,Machine Learning
AmazonSageMakerInference,Amazon SageMaker Inference,Easily deploy and manage ML models at scale,Machine Learning
AmazonSageMakerNotebookInstances,Amazon SageMaker Notebook Instances,"Compute instances running the Jupyter notebook app, billed by the instance type chosen",Machine Learning
AmazonSageMakerProcessing,Amazon SageMaker Processing,"Easily run pre-processing, post-processing, and model evaluation workloads on fully managed infrastructure",Machine Learning
AmazonSageMakerStudio,Amazon SageMaker Studio,"Provides a single, web-based visual interface where customers can perform all ML development steps",Machine Learning
AmazonSageMakerTraining,Amazon SageMaker Training,Reduces the time and cost to train and tune ML models,Machine Learning
AWSPanorama,AWS Panorama,Enabling computer vision applications at the edge,Machine Learning
AWSMigrationHubRefactorSpaces,AWS Migration Hub Refactor Spaces,Starting point for incremental application refactoring to microservices,Migration & Transfer
AmazonLookoutforMetrics,Amazon Lookout for Metrics,Accurately detect anomalies in your business metrics and quickly understand why,Machine Learning
AmazonSageMakerEdgeManager,Amazon SageMaker Edge Manager,Easily operate ML models running on edge devices,Machine Learning
AmazonHealthLake,Amazon HealthLake,Making sense of health data,Machine Learning
AmazonConnectWisdom,Amazon Connect - Wisdom,Deliver agents the information they need to solve issues in real-time,Customer Engagement
AmazonConnectCustomerProfiles,Amazon Connect - Customer Profiles,"Enable agents to deliver faster, more personalized customer service",Customer Engagement
AmazonConnectVoiceID,Amazon Connect - Voice ID,Real-time caller authentication and fraud risk detection using ML-powered voice analysis,Customer Engagement
ContactLensforAmazonConnectRealTime,Contact Lens for Amazon Connect - Real Time,0,Customer Engagement
AmazonFileCache,Amazon File Cache,High-speed cache for datasets stored anywhere,Storage
AWSIoTCoreforLoRaWAN,AWS IoT Core for LoRaWAN,"Connect, manage, and secure LoRaWAN devices at scale",Internet of Things
AmazonCloudSearch,Amazon CloudSearch,Managed Search Service,Analytics
AmazonCloudWatchApplicationInsights,Amazon CloudWatch Application Insights,Monitor Resources and Applications,Management & Governance
PrimaryPartnerSolution,Primary Partner Solution,0,0
Amazon GameCast,Amazon GameCast,Available under NDA - Amazon GameCast enables customers to build low-latency streaming services for 3D games/experiences,Game Tech
AmazonChime,Amazon Chime,Amazon Chime is a communications service that transforms online meetings,Business Applications
AmazonEC2Spot,Amazon EC2 Spot,Run fault-tolerant workloads for up to 90% off,Compute
AmazonEC2Windows,Amazon EC2 Windows,Secure and resizable compute capacity to support virtually any workload,Compute
AmazonConnectPerformanceEvaluation,Amazon Connect - Performance Evaluation,Enables businesses to review customer conversations and use conversational analytics to automate evaluation to identify agents' coaching needs,Customer Engagement
AWSMainframeModernizationPrecisely,AWS Mainframe Modernization Precisely,Augmentation toolchain within AWS Mainframe Modernization service,Compute
EPIC49ProductCreationTestChangedName,EPIC 49 Product Creation Test - Changed Name,I just changed the description on this product it should update,Compute
